Total_Casos_Confirmados;Total_Novos_Casos_Confirmados;Total_Mortes_Confirmadas;Total_Novas_Mortes_Confirmadas
27;406;138;1126
25282;92;1043;20
24505;183;973;25
24027;163;928;25
23864;472;903;23
23392;595;880;26
22797;444;854;34
22353;371;820;35
21982;603;785;23
21379;516;762;27
20863;657;735;21
20206;521;714;27
19685;663;687;30
19022;181;657;28
18841;750;629;30
18091;643;599;32
17448;514;567;32
16934;349;535;31
16585;598;504;34
15987;515;470;35
15472;1516;435;26
13956;815;409;29
13141;699;380;35
12442;712;345;34
11730;452;311;16
11278;754;295;29
10524;638;266;20
9886;852;246;37
9034;783;209;22
8251;808;187;27
7443;1035;160;20
6408;446;140;21
5962;792;119;19
5170;902;100;24
4268;724;76;16
3544;549;60;17
2995;633;43;10
2362;302;33;10
2060;460;23;9
1600;320;14;2
1280;260;12;6
1020;235;6;3
785;143;3;1
642;194;2;1
448;117;1;1
331;86;0;0
245;133;0;0
112;0;0;0
112;71;0;0
41;0;0;0
41;0;0;0
41;11;0;0
30;0;0;0
30;9;0;0
21;8;0;0
13;4;0;0
9;0;0;0
7;5;0;0
2;0;0;0
2;2;0;0
